,method,step,range,host,mean,std
440,CF4,0.0001,"(0.1,0.3)",host#b1a00ec8,-9.43689570931383e-17,0.16554310810866735
560,CF4,0.0001,"(0.1,0.3)",host#b9ec88ad,-1.5170156797417179e-16,0.00894467295780114
680,CF4,0.0001,"(0.1,0.3)",host#e0324c47,8.326672684688674e-17,0.6331591396882453
800,CF4,0.0001,"(0.1,0.3)",host#e739d7ed,1.0061396160665481e-16,0.011462248579899588
920,CF4,0.0001,"(0.1,0.3)",host#ea9ebc36,-9.159339953157541e-17,0.5963714088840661
1040,CF4,0.0001,"(0.1,0.3)",host#fe823726,-1.9428902930940238e-17,0.5475754808038884
1,CF4,0.001,"(0.1,0.15)",host#053336e2,3.3306690738754695e-17,0.30809407103009717
121,CF4,0.001,"(0.1,0.15)",host#2a9a8c7d,2.706168622523819e-17,0.025660839937344783
241,CF4,0.001,"(0.1,0.15)",host#2ea82f5c,-3.187554387107383e-17,0.04041220587447285
361,CF4,0.001,"(0.1,0.15)",host#b1a00ec8,-5.2735593669694933e-17,0.06522969800113439
481,CF4,0.001,"(0.1,0.15)",host#b9ec88ad,3.4694469519536144e-19,0.013301726049849026
601,CF4,0.001,"(0.1,0.15)",host#e0324c47,1.9272777818102326e-16,0.018704559571187777
721,CF4,0.001,"(0.1,0.15)",host#e739d7ed,-8.18789480661053e-17,0.02491641196339847
841,CF4,0.001,"(0.1,0.15)",host#ea9ebc36,3.400058012914542e-17,0.016125997627058457
961,CF4,0.001,"(0.1,0.15)",host#fe823726,-8.326672684688674e-17,0.012551921870496169
41,CF4,0.001,"(0.1,0.2)",host#053336e2,-2.5326962749261383e-17,0.02452458413650052
161,CF4,0.001,"(0.1,0.2)",host#2a9a8c7d,1.0547118733938987e-16,0.06434049343284591
281,CF4,0.001,"(0.1,0.2)",host#2ea82f5c,9.246076126956381e-17,0.012126638447765209
401,CF4,0.001,"(0.1,0.2)",host#b1a00ec8,6.800116025829084e-17,0.19220696216708852
521,CF4,0.001,"(0.1,0.2)",host#b9ec88ad,-9.184276603124708e-17,0.008981800746204631
641,CF4,0.001,"(0.1,0.2)",host#e0324c47,0.0,0.01985756022432914
761,CF4,0.001,"(0.1,0.2)",host#e739d7ed,-1.8995222061946036e-17,0.01791003940016922
881,CF4,0.001,"(0.1,0.2)",host#ea9ebc36,-1.986258379993444e-17,0.010432038853625515
1001,CF4,0.001,"(0.1,0.2)",host#fe823726,-1.6427831317500364e-16,0.01046472323808366
81,CF4,0.001,"(0.1,0.3)",host#053336e2,1.27675647831893e-16,0.16520858743490435
201,CF4,0.001,"(0.1,0.3)",host#2a9a8c7d,1.6757428777935956e-16,0.008901834578111356
321,CF4,0.001,"(0.1,0.3)",host#2ea82f5c,5.932754287840681e-17,0.00587927724589513
441,CF4,0.001,"(0.1,0.3)",host#b1a00ec8,5.551115123125783e-18,0.21326497635868902
561,CF4,0.001,"(0.1,0.3)",host#b9ec88ad,-1.3010426069826053e-19,0.007370415296161131
681,CF4,0.001,"(0.1,0.3)",host#e0324c47,-9.575673587391976e-17,0.015381088997023465
801,CF4,0.001,"(0.1,0.3)",host#e739d7ed,-1.375202035580614e-16,0.0025956039743474687
921,CF4,0.001,"(0.1,0.3)",host#ea9ebc36,1.854419395819207e-16,0.006584385746594934
1041,CF4,0.001,"(0.1,0.3)",host#fe823726,3.95516952522712e-17,0.013894804712632046
15,CF43,1e-10,"(0.1,0.15)",host#053336e2,-1.3192572034803617e-16,0.015050467612067332
135,CF43,1e-10,"(0.1,0.15)",host#2a9a8c7d,7.181755190543981e-17,0.019090422498260214
255,CF43,1e-10,"(0.1,0.15)",host#2ea82f5c,2.2447321779139885e-16,0.011283520689750267
375,CF43,1e-10,"(0.1,0.15)",host#b1a00ec8,4.198030811863873e-17,0.012362326651558288
495,CF43,1e-10,"(0.1,0.15)",host#b9ec88ad,6.453171330633723e-17,0.02558244021546112
615,CF43,1e-10,"(0.1,0.15)",host#e0324c47,1.4675760606763787e-16,0.020118277181763903
735,CF43,1e-10,"(0.1,0.15)",host#e739d7ed,-1.6132928326584306e-16,0.017367423378810008
855,CF43,1e-10,"(0.1,0.15)",host#ea9ebc36,-1.7191109646930157e-16,0.00688544356640222
975,CF43,1e-10,"(0.1,0.15)",host#fe823726,1.6237011735142913e-16,0.02343431638467295
55,CF43,1e-10,"(0.1,0.2)",host#053336e2,4.3628295420816696e-17,0.005249203518267639
175,CF43,1e-10,"(0.1,0.2)",host#2a9a8c7d,-8.604228440844963e-17,0.01439923810952053
295,CF43,1e-10,"(0.1,0.2)",host#2ea82f5c,2.8796409701215e-17,0.055219385195423805
415,CF43,1e-10,"(0.1,0.2)",host#b1a00ec8,-3.4694469519536144e-19,0.015139478912138286
535,CF43,1e-10,"(0.1,0.2)",host#b9ec88ad,-2.138893717088669e-17,0.007443937669531893
655,CF43,1e-10,"(0.1,0.2)",host#e0324c47,3.4694469519536144e-19,0.06437301482559331
775,CF43,1e-10,"(0.1,0.2)",host#e739d7ed,4.2587461335230615e-17,0.013042531807432539
895,CF43,1e-10,"(0.1,0.2)",host#ea9ebc36,2.0990154059319365e-17,0.009686121150337984
1015,CF43,1e-10,"(0.1,0.2)",host#fe823726,4.2500725161431774e-17,0.023876993420188765
95,CF43,1e-10,"(0.1,0.3)",host#053336e2,-8.673617379884036e-20,0.01839714726895409
215,CF43,1e-10,"(0.1,0.3)",host#2a9a8c7d,-1.509209424099822e-17,0.025125008091852617
335,CF43,1e-10,"(0.1,0.3)",host#2ea82f5c,1.2264494975156027e-16,0.005774984972013872
455,CF43,1e-10,"(0.1,0.3)",host#b1a00ec8,-6.990935608186532e-17,0.011713944241441721
575,CF43,1e-10,"(0.1,0.3)",host#b9ec88ad,-5.3602955407683337e-17,0.016215210994123812
695,CF43,1e-10,"(0.1,0.3)",host#e0324c47,4.1839361836215614e-17,0.0158546264061227
815,CF43,1e-10,"(0.1,0.3)",host#e739d7ed,1.8275311819415662e-16,0.06094547261312576
935,CF43,1e-10,"(0.1,0.3)",host#ea9ebc36,-2.1380466841414146e-17,0.004859502158575134
1055,CF43,1e-10,"(0.1,0.3)",host#fe823726,-4.3064510291124235e-17,0.009002626474281789
14,CF43,1e-09,"(0.1,0.15)",host#053336e2,-9.089951014118469e-17,0.016814871760124264
134,CF43,1e-09,"(0.1,0.15)",host#2a9a8c7d,7.181755190543981e-17,0.023540803041784897
254,CF43,1e-09,"(0.1,0.15)",host#2ea82f5c,5.0653925498522766e-17,0.03201974865354847
374,CF43,1e-09,"(0.1,0.15)",host#b1a00ec8,-1.8388068845354155e-17,0.021026660317793128
494,CF43,1e-09,"(0.1,0.15)",host#b9ec88ad,2.7755575615628914e-17,0.05619255047095016
614,CF43,1e-09,"(0.1,0.15)",host#e0324c47,1.762479051592436e-16,0.03232905870697966
734,CF43,1e-09,"(0.1,0.15)",host#e739d7ed,1.863093013199091e-16,0.04373178635999685
854,CF43,1e-09,"(0.1,0.15)",host#ea9ebc36,-1.0755285551056204e-16,0.041545782365430946
974,CF43,1e-09,"(0.1,0.15)",host#fe823726,-2.7755575615628914e-17,0.037279182337084486
54,CF43,1e-09,"(0.1,0.2)",host#053336e2,0.0,0.009991160823209602
174,CF43,1e-09,"(0.1,0.2)",host#2a9a8c7d,1.8093165854438098e-16,0.015848275901398767
294,CF43,1e-09,"(0.1,0.2)",host#2ea82f5c,-5.0653925498522766e-17,0.023919943766018574
414,CF43,1e-09,"(0.1,0.2)",host#b1a00ec8,-1.5612511283791264e-16,0.025339817361382962
